차 | 茶, 車 | tea;<div>car</div>
하반기 | 下半期 | the second half of the year
모임 |  | meeting, gathering
물질 | 物質 | matter, substance, material
외할머니 | 外- | maternal grandmother
아나운서 |  | announcer, news anchor
엄청나다 |  | to be huge, enormous, tremendous
폭발하다 | 暴發, 爆發 | to explode, blow up, detonate, erupt
첩 | 妾, 帖 | concubine;<div>book, album</div>
얌전하다 |  | to be gentle, well-behaved, obedient, modest
따님 |  | daughter (hon.)
신고하다 | 申告 | to report, declare, notify
솜씨 |  | skill, ability
순서 | 順序 | order, sequence, procedure
시동 | 始動 | starting (of a machine)
억울하다 | 抑鬱 | to suffer unfairness, feel victimized
짝퉁 |  | fake, imitation
쪽팔리다 |  | to be embarrassing
충전하다 | 充電 | to electrify, charge
등신 | 等神 | fool, idiot
중지하다 | 中止 | to discontinue, stop, suspend
부디 |  | please
유료 | 有料 | requiring payment
장인 | 丈人, 匠人 | one's wife's father;<br>master craftsman
백성 | 百姓 | the people, the public
청년 | 靑年 | young man, young people
돌이키다 |  | to look back on, reflect;<div>to undo</div>
용의자 | 容疑者 | suspect
데모 |  | demonstration
끼다 |  | <div>to fasten, wear;</div>to be caught (in), be involved;<div>to cloud over, be foggy<br></div>
들러리 |  | best man, bridesmaid
업체 | 業體 | business, enterprise, concern
펴놓다 |  | to spread, lay out, keep open
선비 |  | classical scholar
파악하다 | 把握 | to grasp, understand, figure out
실천하다 | 實踐 | to put into practice
공동 | 共同 | joint, group, collaboration
까닭 |  | reason, cause, grounds (for)
이윽고 |  | eventually, at last, finally
한눈 |  | <div>a look, a glance</div>
나뉘다 |  | to be divided, be apart
눈부시다 |  | to be dazzling, glaring, brilliant
빈틈 |  | gap, crack
방패 | 防牌 | shield
입찰 | 入札 | bid, tender
작성하다 | 作成 | to draw up, write out, prepare
미역국 |  | seaweed soup
금발 | 金髮 | golden hair
수염 | 鬚髥 | beard, moustache, whiskers
이상형 | 理想型 | ideal type
애교 | 愛嬌 | charms, courtesy
센터 |  | center
건장하다 | 健壯 | to be well built, have a strong physique
혈압 | 血壓 | blood pressure
용납하다 | 容納 | to allow, permit, tolerate
험하다 | 險 | to be rugged, rough, sinister
상대하다 | 相對 | to deal with
물러나다 |  | to step back, resign
무례하다 | 無禮 | to be rude, disrespectful
통역하다 | 通譯 | to interpret (translate orally)
색칠하다 | 色漆 | to color, paint
영리하다 | 怜悧 | to be smart, clever, bright
지혜 | 智慧 | wisdom, wit
독특하다 | 獨特 | to be peculiar, unique, distinctive
처지 | 處地 | position, circumstances, situation
미숙하다 | 未熟 | to be inexperienced, unskilled;<div>to be unripe, immature</div>
조미료 | 調味料 | seasoning, condiment
식용유 | 食用油 | cooking oil
해바라기 |  | sunflower
깨 |  | sesame
물끄러미 |  | with a blank look
금품 | 金品 | money and valuables
몸매 |  | one's figure
듬직하다 |  | to be reliable, dependable
활발하다 | 活潑 | to be lively, active
자상하다 | 仔詳 | to be attentive, considerate, thoughtful
분석하다 | 分析 | to analyze
관계자 | 關係者 | the interested parties, affected persons
지적하다 | 指摘 | to point out, indicate
신청서 | 申請書 | application form
온전하다 | 穩全 | to be whole, intact
고급 | 高級 | high rank, high class
음절 | 音節 | syllable
앞면 | -面 | the front
북녘 | 北- | north
펭귄 |  | penguin
해변 | 海邊 | beach, seashore
관광객 | 觀光客 | tourist
요원 | 要員 | agent
장물 | 臟物 | stolen goods
순진하다 | 純眞 | to be naive
쏘다 |  | to shoot, fire
연락선 | 連絡船 | ferry
첫인상 | -印象 | one's first impression
투표하다 | 投票 | to vote
투자하다 | 投資 | to invest
수익 | 收益 | profit, earnings, revenue
신제품 | 新製品 | new product
신속하다 | 迅速 | to be quick, prompt, swift
마지못해 |  | reluctantly, grudgingly
숙면 | 熟眠 | deep sleep, sound sleep
털 |  | hair, fur, feather
악성 | 惡性 | bad, vicious, malignant
포장마차 | 布帳馬車 | (covered) cart bar, snack stall
검은색 |  | black
빨갛다 |  | to be red
노란색 |  | yellow
녹색 | 綠色 | green
빨강 |  | red
청색 | 靑色 | blue
검정 |  | black
하양 |  | white, whiteness
하늘색 |  | sky blue
밤색 |  | brown, chestnut
노랑 |  | yellow
핑크 |  | pink
고동색 | 古銅色 | reddish brown
파랑 |  | blue
연보라 | 軟- | light purple
하얀색 |  | white
바래다주다 |  | see a person home
입구 | 入口 | entrance, gateway
현관 | 玄關 | front door, entrance, foyer
섭섭하다 |  | to be sorry, disappointed, regret
말대꾸하다 |  | to talk back, retort
꼬박꼬박 |  | regularly
잔뜩 |  | to the greatest possible extent, to the fullest
시리다 |  | to be cold (about one's body parts)
택배 | 宅配 | parcel delivery service
꿇다 |  | to kneel (down)
인턴 |  | intern
엽서 | 葉書 | postcard
찾아오다 |  | to come see someone;<div>to retrieve something</div>
극복하다 | 克服 | to overcome
실연하다 | 失戀, 實演 | to be disappointed in love, heartbroken;<br>to demonstrate
배신하다 | 背信 | to betray
사직서 | 辭職書 | letter of resignation
힘내다 |  | to gather heart, cheer up
전처 | 前妻 | one's former wife, ex-wife
야무지다 |  | to be sturdy, skillful, shrewd
출연하다 | 出演 | to appear (in a movie etc.)
원기 | 元氣 | energy, vigor
밥상 | -床 | dinner table
씩씩하다 |  | to be brave, manly
덮다 |  | to cover, shut, close
탈락하다 | 脫落 | to drop out, be eliminated
막히다 |  | to be blocked, be stopped
재미없다 |  | to be boring, dull
잘못되다 |  | to go wrong
쓰레기통 | -桶 | garbage can, waste basket
저기 |  | over there
오븐 |  | oven
욕조 | 浴槽 | bathtub
변기 | 便器 | toilet
장식장 | 裝飾欌 | display cupboard, cabinet
주전자 | 酒煎子 | kettle
화장대 | 化粧臺 | dressing table
계획표 | 計劃表 | written schedule, plans
소방관 | 消防官 | fireman
주유소 | 注油所 | gas station
일과표 | 日課表 | daily schedule
투명하다 | 透明 | to be clear, transparent
유행가 | 流行歌 | popular song
집들이 |  | housewarming party
저쪽 |  | that side, over there
그쪽 |  | that, that way;<div>you</div>
수영복 | 水泳服 | swimsuit
서늘하다 |  | to be chilly, cool
일출 | 日出 | sunrise
전하 | 殿下 | Your Highness
구역 | 區域 | area, zone, district
삽 |  | shovel
대장 | 大將, 大腸 | <div>leader, commander, captain;</div><div>large intestine</div>
팔씨름하다 |  | to arm wrestle
뺏다 |  | to take (away), snatch
야단맞다 | 惹端 | to be scolded thoroughly
고자질하다 | 告者- | to tattle, tell on
강의실 | 講義室 | lecture room
시시하다 |  | to be dull, boring;<div>to be trivial, insignificant</div>
새치기하다 |  | to jump the queue, cut in line
가버리다 |  | to be gone
절대 | 絶對 | absolutely, definitely
솥 |  | iron pot
피해자 | 被害者 | victim
뻔뻔하다 |  | to be shameless, brazen
올바로 |  | honestly, uprightly, properly
화창하다 | 和暢 | to be sunny
통통하다 |  | to be plump, chubby
머물다 |  | to stay, remain
터지다 |  | to burst, blow up, explode
추가하다 | 追加 | to add, supplement
요일 | 曜日 | day of the week
횡단보도 | 橫斷步道 | crosswalk
지하도 | 地下道 | underpass
허리띠 |  | belt
그래도 |  | nevertheless, still, however
더하다 |  | to add (up), sum up;<div>to get worse, grow harder</div>
정오 | 正午 | noon, midday
놀이공원 | --公園 | amusement park
고아원 | 孤兒院 | orphanage
다락 |  | attic
갈아입다 |  | to change clothes
신호등 | 信號燈 | traffic light
안부 | 安否 | regards;<div>news (regarding a person)</div>
화랑 | 畵廊 | art gallery
추위 |  | cold weather
싸늘하다 |  | to be cool, chilly
어리석다 |  | to be foolish, stupid, silly
뾰족하다 |  | to be pointed, sharp
분실물 | 紛失物 | lost article, lost item
가죽 |  | leather
연하다 | 軟 | to be soft, light, tender
탄탄하다 |  | to be solid, strong, robust
뒤돌아보다 |  | to look back
친숙하다 | 親熟 | to be familiar
그리움 |  | longing, yearning
또래 |  | peer (group), same age group
뒤처지다 |  | to be left behind
표준어 | 標準語 | standard language
생각 |  | thought, idea
탈출하다 | 脫出 | to escape
함정 | 陷穽 | trap
불타다 |  | to burn, be in flames
업다 |  | to carry on one's back
파업 | 罷業 | strike, walkout
썩다 |  | to rot, decay, go bad
통제 | 統制 | control
하찮다 |  | to be trivial, petty, insignificant
사진기 | 寫眞機 | camera
필통 | 筆筒 | pencil case
정열적 | 情熱的 | passionate
회화 | 會話, 繪畵 | conversation;<div>painting</div>
재다 |  | to measure, gauge
이별하다 | 離別 | to part, separate
도저히 | 到底- | not at all, no way
포위하다 | 包圍 | to surround, encircle
명심하다 | 銘心 | to keep in mind, remember
고무 |  | rubber
문방구 | 文房具 | stationery;<div>stationery store</div>
사기꾼 | 詐欺- | con artist, swindler
복도 | 複道 | hallway
죽 | 粥 | porridge, gruel;<div>in a row</div>
감추다 |  | to hide
원칙 | 原則 | principle, general rule
양초 | 洋- | candle
처자 | 妻子, 處子 | one's wife and children;<br>a maiden
공지하다 | 公知 | to announce, notify
얕다 |  | to be shallow
다람쥐 |  | squirrel
볶다 |  | to fry, roast
수줍다 |  | to be shy
진실되다 | 眞實 | to be true, truthful, sincere, real
맹세하다 | 盟誓 | to swear, pledge
파트너 |  | partner
발달하다 | 發達 | to develop, grow
한라산 | 漢拏山 | Mt. Halla
확대하다 | 擴大 | to expand, magnify
배송 | 配送 | shipping, delivery
찌개 |  | stew
영화제 | 映畫祭 | film festival
높임말 |  | honorific language (style, words)
신입사원 | 新入社員 | newly hired employee
옆집 |  | next door
연주회 | 演奏會 | concert, recital
벽보 | 壁報 | poster
고사하다 | 固辭, 枯死 | to reject, decline;<div>to wither (away)</div>
후보 | 候補 | candidate, nominee
앞서 |  | before, earlier
숙이다 |  | to drop, lower, bow, bend
되뇌다 |  | to repeat, say (many times over)
고집 | 固執 | stubbornness, insistence
잠수하다 | 潛水 | to dive, go underwater
널리 |  | widely, broadly, all over
이롭다 |  | to be beneficial, do good
만일 | 萬一 | in case, by any chance, suppose
답장 | 答狀 | response, answer (written)
먹이 |  | food, feed
녹음기 | 錄音器 | recorder
전시하다 | 展示 | to exhibit, display
원피스 |  | dress
가곡 | 歌曲 | song
들키다 |  | to get caught, be discovered
상견례 | 相見禮 | meeting (between the families of the bride and the groom)
교훈 | 敎訓 | lesson, moral
양쪽 | 兩- | both sides
실컷 |  | to one's satisfaction, as much as one likes
연수 | 硏修 | training, study
알몸 |  | naked body
용돈 | 用- | pocket money, allowance
해수 | 海水 | seawater
두통 | 頭痛 | headache
집안 |  | home, family, household
아웃 |  | out
신중하다 | 愼重 | to be cautious, prudent, discreet
팔꿈치 |  | elbow
단위 | 單位 | unit, measure
모집하다 | 募集 | to recruit, invite
죽음 |  | death
등장하다 | 登場 | to appear, make an appearance
한계 | 限界 | limit, boundary
솜 |  | cotton
선전 | 宣傳 | propaganda, advertisement
소방서 | 消防署 | fire station
애완동물 | 愛玩動物 | pet
헬스클럽 |  | health club, gym
연속 | 連續 | series, streak, continuation
연인 | 戀人 | sweetheart, lover
화장지 | 化粧紙 | facial tissue, toilet paper
저항하다 | 抵抗 | to resist
손해 | 損害 | damage, loss
급히 | 急 | hastily, in a hurry
혼동하다 | 混同 | to confuse, mix up
번갈다 | 番- | to take turns
낙엽 | 落葉 | fallen leaves
여유 | 餘裕 | <div>time/money to spare, composure</div>
난로 | 煖爐 | heater, stove
파괴하다 | 破壞 | to destroy, ruin
임시 | 臨時 | temporary
흔히 |  | commonly, frequently, generally
갈등 | 葛藤 | conflict
초기 | 初期 | the early days, the beginning
이론 | 理論 | theory
골탕먹다 | -湯 | to suffer a big loss, be cheated
사기 | 詐欺, 士氣 | fraud, deception, scam;<div>morale, fighting spirit</div>
풀리다 |  | to get solved, get loose, be relieved
탓 |  | reason, blame
끝장 |  | end, conclusion, termination
회복하다 | 恢復 | to recover, regain, get better
녹화 | 錄畵 | video recording
기자회견 | 記者會見 | press conference
무지 | 無知, 無智 | ignorance, stupidity;<div>very, extremely</div>
군소리 |  | unnecessary remark
이어폰 |  | earphones
웬만하다 |  | to be tolerable, fairly good
잽싸다 |  | to be quick, swift, agile
이륙하다 | 離陸 | to take off (about planes)
뛰어나다 |  | to be outstanding, excellent
한반도 | 韓半島 | the Korean peninsula
풍부하다 | 豊富 | to be plentiful, ample
인근 | 隣近 | vicinity, nearby
어긋나다 |  | to be contrary, at cross purposes;<div>to go amiss</div>
설레다 |  | to flutter, vibrate
절망 | 絶望 | despair, hopelessness
이성적 | 理性的 | rational, reasonable
날아가다 |  | to fly away
맺다 |  | to bear, produce;<div>to form</div>
방울 |  | drop (of liquid);<div>bell</div>
흘러내리다 |  | to run down, trickle down
모질다 |  | to be harsh, hard, severe
머무르다 |  | to stay, remain
그저 |  | without any reason
얼다 |  | to freeze, be frozen
잡채 | 雜菜 | noodles with sauteed vegetables
먼지 |  | dust
멋대로 |  | as one pleases, selfishly
주의사항 | 注意事項 | matters that require (special) attention
질색하다 | 窒塞 | to detest, loathe
양치질하다 | 養齒- | to brush teeth
반응 | 反應 | response, reaction
건배 | 乾杯 | toast, cheers
원수 | 怨讐 | enemy
곱다 |  | to be pretty, lovely
스타일 |  | style
데뷔하다 |  | to make one's debut
출렁거리다 |  | to slop, splash, roll
재난 | 災難 | disaster, catastrophe
암 | 癌 | cancer
스킨십 |  | touch (skin to skin, with affection)
박다 |  | to thrust in, hammer, drive
크레파스 |  | crayon
가루 |  | powder, flour, dust
켤레 |  | a pair
학과 | 學科 | <div>(university) department, major;</div>
언론 | 言論 | the press, the media
없어지다 |  | <div>to lose, be lost;</div><div>to disappear</div>
주정하다 | 酒酊 | to act in a drunken and disorderly way
껍데기 |  | shell, skin
녀석 |  | guy, fellow
미끈미끈하다 |  | to be all slippery, very smooth
맨손 |  | bare hands
부딪치다 |  | to bump against, crash into, collide
기절하다 | 氣絶 | to faint, pass out
지나치다 |  | <div>to be excessive;</div>to pass by, go past
결승 | 決勝 | finals
혈액 | 血液 | blood
일반적 | 一般的 | general, usual
관습 | 慣習 | custom, convention
근시 | 近視 | nearsightedness
교정하다 | 校正, 矯正 | to proofread;<div>to correct</div>
오싹하다 |  | to shudder, feel a chill
원점 | 原點 | starting point
수집하다 | 蒐集 | to collect, gather
유리하다 | 有利 | to be favorable, advantageous
법칙 | 法則 | law, rule
육지 | 陸地 | land
신하 | 臣下 | servant, vassal, government officer
감염 | 感染 | infection
정지하다 | 停止 | to stop, halt
수명 | 壽命 | life, life span
밤새우다 |  | to stay up all night
엘리베이터 |  | elevator
난방 | 煖房·暖房 | heating
불어 | 佛語 | French language
망치다 | 亡- | to spoil, ruin, screw up
외향적 | 外向的 | extroverted, outgoing
탐내다 | 貪- | to want, desire, covet
어기다 |  | to break, violate
의젓하다 |  | to be mature, dignified
진학하다 | 進學 | to enter (a higher level of) school
낭만 | 浪漫 | romance
사연 | 事緣 | story, situation
예정일 | 豫定日 | due date
착수하다 | 着手 | to start, launch
단조롭다 | 單調- | to be monotonous
이력 | 履歷 | background, personal history, record
이주하다 | 移住 | to move, migrate
애매하다 | 曖昧 | to be vague, obscure, uncertain;<div>to be wrongly accused</div>
특집 | 特輯 | special edition
사막 | 沙漠·砂漠 | desert
출신 | 出身 | native, origin
동영상 | 動映像 | video
냉정하다 | 冷靜, 冷情 | to be cool-headed, objective, cold-hearted
관광지 | 觀光地 | tourist attraction [spot]
배드민턴 |  | badminton
이끌다 |  | to lead, guide
콘센트 |  | socket, electrical outlet
여기다 |  | to regard, consider
굴뚝 |  | chimney
평평하다 | 平平 | to be flat, even
따갑다 |  | to be stinging, burning, irritated (for one's skin or body parts)
놓아두다 |  | to leave (as is)
정화 | 淨化 | purification
뱉다 |  | to spit out
정밀 | 精密 | detailed, precise, exact
구석구석 |  | every nook and corner
멎다 |  | to stop
논문 | 論文 | thesis, research paper
문화재 | 文化財 | cultural assets
여신 | 女神 | goddess
파도 | 波濤 | waves
종영 | 終映 | end (of a show or movie)
엉덩이 |  | butt, buttocks
합의 | 合意, 合議 | agreement, consent;<div>consultation</div>
선약 | 先約 | previous engagement
피신하다 | 避身 | to escape, flee, take shelter
청춘 | 靑春 | youth
건국 | 建國 | establishment of a country
금실 | 琴瑟 | marital chemistry (harmony)
지휘하다 | 指揮 | to command, lead, direct
죄목 | 罪目 | charge, name of a crime
붉다 |  | to be red, crimson
용감하다 | 勇敢 | to be brave, daring, courageous
등불 | 燈- | lamp, lamplight
안개 |  | fog, mist
주동자 | 主動者 | leader
충성 | 忠誠 | loyalty, devotion
엎드리다 |  | to lie face down
뻗다 |  | to reach, stretch out, spread
오냐오냐하다 |  | to overindulge, allow [kids] everything
사양 | 仕樣, 辭讓 | specification;<br>rejection, declining
소장 | 所長, 訴狀 | manager, head;<br>written complaint, petition
수속 | 手續 | procedure
생생하다 | 生生 | to be vivid
당사자 | 當事者 | the person directly involved
주저하다 | 躊躇 | to hesitate
맞선 |  | marriage meeting, blind date
기약 | 期約 | promise
납득하다 | 納得 | to accept
주선하다 | 周旋 | to arrange, set up
딴 |  | other, different
독신 | 獨身 | bachelorhood
최대한 | 最大限 | maximum, at the most
미화하다 | 美化 | to glorify, glamorize, romanticize
주름 |  | wrinkle, crease
건축 | 建築 | architecture, construction
뒤지다 |  | to look through, go through, search for, rummage;<br />to fall behind
미모 | 美貌 | good looks, beautiful face
겸비하다 | 兼備 | to have both, combine
어림없다 |  | to be ridiculous, far from
납기일 | 納期日 | pay day, date for payment
울보 |  | crybaby
낭비하다 | 浪費 | to waste
기어이 | 期於- | no matter what, without fail
거칠다 |  | to be rough, coarse
사오다 |  | to buy something (and bring it)
쟁반 | 錚盤 | tray
체조 | 體操 | gymnastics
회계 | 會計 | accounting
동호회 | 同好會 | club, society
풍선 | 風船 | balloon
높이 |  | height;<div>high, highly</div>
뚫다 |  | to bore, dig, pierce
업무 | 業務 | business, duty
내놓다 |  | to put out, take out;<div>to show, present</div>
줄곧 |  | all the time, continually
연말 | 年末 | end of the year
유부남 | 有婦男 | married man
솟다 |  | to rise;<div>to gush out, flow out</div>
헌 |  | old, shabby, used
간섭하다 | 干涉 | to interfere, meddle
가보다 |  | to have been to a place
맞히다 |  | to hit the mark, guess right
체험 | 體驗 | experience
데다 |  | to be burnt, get scorched, scald oneself
단골 |  | regular customer
원한 | 怨恨 | grudge
넉넉하다 |  | to be sufficient, plenty
초조하다 | 焦燥 | to be anxious, restless, impatient
공감하다 | 共感 | to sympathize, relate
적중하다 | 的中 | to hit the mark (target), come true
의리 | 義理 | loyalty
영웅 | 英雄 | hero, heroine
건축물 | 建築物 | building, structure
인삼 | 人蔘 | ginseng
거문고 |  | Korean harp
굴 | 窟 | cave;<div>oyster</div>
과식하다 | 過食 | to overeat
복장 | 服裝 | attire, clothes
체결하다 | 締結 | to conclude (a contract), to sign
빈방 | -房 | vacant room
은혜 | 恩惠 | favor, kindness, benefits
큰아버지 |  | father's elder brother
큰어머니 |  | father's elder brother's wife
스페인 |  | Spain
운동복 | 運動服 | sportswear
국어 | 國語 | national language;<div>mother tongue</div>
민속촌 | 民俗村 | Folk village
남미 | 南美 | South America
소설가 | 小說家 | novelist
끊어지다 |  | to break down, break off, snap, run out
메모 |  | memo, note
서양 | 西洋 | the West
전화비 | 電話費 | telephone bill
킬로그램 |  | kilogram
시외 | 市外 | the suburbs, outside the city limits
다이어트 |  | diet
기뻐하다 |  | to be pleased, happy, glad
수돗물 | 水道- | tap water
업소 | 業所 | business establishment
합창 | 合唱 | chorus, ensemble
외삼촌 | 外三寸 | maternal uncle
외할아버지 | 外- | maternal grandfather
파 |  | green onion
줄다 |  | to decrease, shrink, lose size
마약 | 痲藥 | drugs, narcotics
샴푸 |  | shampoo
멕시코 |  | Mexico
경기장 | 競技場 | sports stadium
서먹하다 |  | to feel awkward, be ill at ease
남학생 | 男學生 | male student
영하 | 零下 | temperature below freezing
주머니 |  | pocket, bag, pouch
사원 | 社員, 寺院 | employee, member of the staff;<div>temple, mosque</div>
점퍼 |  | jacket, windbreaker
찾아내다 |  | to discover, locate, come up with
조그마하다 |  | to be small, tiny
소형 | 小型·小形 | small item, small size
면세점 | 免稅店 | duty-free shop
쿨 |  | cool
아랍 |  | Arab
사물 | 事物 | objects, things, matters
즐거움 |  | pleasure, joy, happiness
태풍 | 颱風 | typhoon
학생증 | 學生證 | student ID
고추장 | -醬 | red-pepper paste
로션 |  | lotion
내과 | 內科 | internal medicine
벚꽃 |  | cherry blossoms
선풍기 | 扇風機 | electric fan
아프리카 |  | Africa
나빠지다 |  | to grow worse
주택 | 住宅 | house, housing
대학원 | 大學院 | graduate school
봉지 | 封紙 | bag, sack
깃 |  | collar;<div>feather</div>
베트남 |  | Vietnam
음악가 | 音樂家 | musician
담그다 |  | to soak, immerse
증세 | 症勢 | symptom
스타킹 |  | stockings
무궁화 | 無窮花 | Rose of Sharon
나흘 |  | four days
여학생 | 女學生 | female student
떡국 |  | rice-cake soup
후원 | 後援 | support, backing, sponsorship
반성 | 反省 | self-reflection, self-examination
절 | 節 | Buddhist temple;<div>deep bow;</div><div>clause, verse</div>
가두다 |  | to shut in, lock up
남대문 | 南大門 | the South Gate
브라질 |  | Brazil
소화 | 消化 | digestion
축제 | 祝祭 | festival
공중전화 | 公衆電話 | public phone
박수 | 拍手 | handclapping, applause
외숙모 | 外叔母 | maternal uncle's wife
종로 | 鍾路/鐘路 | Jongno
닫히다 |  | to be closed, to shut
패션 |  | fashion, style
보육원 | 保育院 | orphanage
냄비 |  | pot, saucepan
실물 | 實物 | real [life] (as opposed to a picture or a model)
보고서 | 報告書 | report, paper
작은아버지 |  | father's younger brother
작은어머니 |  | the wife of father's younger brother
바이올린 |  | violin
잔치 |  | party, feast
삼계탕 | 蔘鷄湯 | chicken soup with ginseng
몽골 |  | Mongolia
독하다 | 毒 | to be potent, strong;<div>to be spiteful</div>
블라우스 |  | blouse
껌 |  | chewing gum
미술관 | 美術館 | art museum
올려놓다 |  | to put a thing on a place
대학원생 | 大學院生 | graduate student
소년원 | 少年院 | youth detention center
골목 |  | alley
액세서리 |  | accessories
주사 | 注射 | injection, shot
베이징 |  | Beijing
무척 |  | very much
탤런트 |  | TV actor, TV star
연봉 | 年俸 | annual salary
스스로 |  | oneself
쓸쓸하다 |  | to be lonely, forlorn
레몬 |  | lemon
이거 |  | this thing
오월 | 五月 | May
유월 | 六月 | June
이월 | 二月 | February
삼월 | 三月 | March
씨 | 氏 | Mr., Ms.;<div>seed, kernel</div>
일본어 | 日本語 | Japanese (language)
사월 | 四月 | April
칠월 | 七月 | July
한국말 | 韓國- | Korean language
팔월 | 八月 | August
구월 | 九月 | September
시월 | 十月 | October
십일월 | 十一月 | November
십이월 | 十二月 | December
지난주 | --週 | last week
건강하다 | 健康 | to be healthy
세탁 | 洗濯 | washing
닭고기 |  | chicken (meat)
부탁 | 付託 | request
팥 |  | red-beans
가전제품 | 家電製品 | electric home appliance
조용히 |  | silently, quietly
팔찌 |  | bracelet
여전히 | 如前 | still, as ever
솔직히 | 率直 | honestly, frankly
바닥 |  | floor, the bottom
대학생 | 大學生 | college student
가습기 | 加濕器 | humidifier
이상 | 以上, 異常·異狀, 理想 | more than, above;<div>abnormality;</div><div>ideal</div>
대단히 |  | very much, greatly, highly
비밀번호 | 秘密番號 | password, PIN
별일 | 別- | special event, unusual occurence
사계절 | 四季節 | four seasons
새해 |  | New Year
국제 | 國際 | international-
국물 |  | soup, broth
대구 | 大邱 | Daegu
세계적 | 世界的 | global, worldwide
판매 | 販賣 | sale
인사동 |  | Insadong
안내하다 | 案內 | to guide, lead the way
크기 |  | size, volume
편히 | 便- | conveniently, comfortably
좌회전하다 | 左回轉 | to turn left
신혼여행 | 新婚旅行 | honeymoon
특별히 | 特別 | especially, particularly
직행 | 直行 | going straight, going direct
옥수수 |  | corn
우회전하다 | 右回轉 | to turn right
때때로 |  | occasionally
매년 | 每年 | every year
티셔츠 |  | T-shirt
주요 | 主要 | major, main, primary
늙다 |  | to grow old, be old
전문가 | 專門家 | expert, specialist
익숙해지다 |  | to get used to
강남 | 江南 | Gangnam
콘서트 |  | concert
옳다 |  | to be right, correct, proper
물음 |  | question
드라이어 |  | dryer
다가오다 |  | to approach, come near
손바닥 |  | palm of the hand
월말 | 月末 | end of the month
적극적 | 積極的 | positive, active
개발하다 | 開發 | to develop
젊은이 |  | the youth, young person
점차 | 漸次 | gradually, little by little
길이 |  | length
높이다 |  | to raise, make higher
형님 | 兄- | a man's older brother (hon.)
놓이다 |  | to be put;<div>to feel relieved</div>
발생하다 | 發生 | to occur, arise, happen
에너지 |  | energy
계산기 | 計算器/計算機 | calculator
밥솥 |  | rice cooker
찾아보다 |  | to look for, search;<div>to visit</div>
뿌리다 |  | to sprinkle, spray, scatter
가리키다 |  | to point
박사 | 博士 | doctor, expert
팝송 |  | pop song
단지 | 但只, 團地 | simply, merely, just;<div>apartment complex</div>
낮잠 |  | nap
뽑다 |  | to pick, draw, pull out
불리다 |  | to be called, be invited;<div>to enrich oneself</div>
교포 | 僑胞 | ethnic Korean living abroad
도시락 |  | (packed) lunch
몇몇 |  | some, several
명동 | 鳴動 | Myeong Dong
식물 | 植物 | plant, vegetation
이익 | 利益 | profit, gain, advantage
어려움 |  | difficulty, hardship
온 |  | all, entire, whole
오랫동안 |  | for a long time
농촌 | 農村 | farm village
잘되다 |  | to be going well, come out well
한쪽 |  | one side, one way
그만큼 |  | that much, to that extent
찻잔 | 茶盞 | teacup
쥐다 |  | to grip, clench, grasp
벌어지다 |  | to get wider;<div>to happen, break out</div>
커지다 |  | to grow big, expand;<div>to become serious</div>
시리즈 |  | series
폭 | 幅 | width, range
조상 | 祖上 | ancestor, forefather
승무원 | 乘務員 | crew member, stewardess
상대방 | 相對方 | the other party, the opposing team, adversary
강물 | 江- | river water
문제점 | 問題點 | problem, drawback, the point in question
꾸미다 |  | to decorate, make up;<div>to invent, prepare</div>
깊이 |  | depth;<div>deeply</div>
비교적 | 比較的 | relatively, comparatively
예술가 | 藝術家 | artist
몹시 |  | extremely, awfully, very
최초 | 最初 | the very first
과학자 | 科學者 | scientist
한두 |  | one or two
서비스 |  | service;<div>giving something away for free</div>
춘천 | 春川 | Chuncheon
활용하다 | 活用 | to utilize, put to practical use
미역 |  | seaweed, sea mustard
가꾸다 |  | to grow, cultivate;<div>to take care of</div>
생년월일 | 生年月日 | date of birth
감옥 | 監獄 | jail
중요성 | 重要性 | importance, significance
차비 | 車費 | transportation fare
온돌방 | 溫突房 | room with the Korean floor heating system
번개 |  | lightning
선글라스 |  | sunglasses
거품 |  | bubble, foam
채우다 |  | to fill;<div>to lock, fasten</div>
식빵 | 食- | bread
이동하다 | 移動 | to move
너무하다 |  | to be unreasonable, too much
신랑 | 新郞 | groom
누구나 |  | anyone
오페라 |  | opera
김 |  | dried seaweed;<div>steam</div>
한발 |  | one step
선선하다 |  | to be cool, refreshing
생겨나다 |  | to come into existence, occur
종합 | 綜合 | synthesis, putting together
응원하다 | 應援 | to cheer, support
사회적 | 社會的 | social
틀림없다 |  | to be certain, beyond a doubt;<div>to be trustworthy</div>
달려가다 |  | to run, dash, rush
고속도로 | 高速道路 | expressway, highway
관객 | 觀客 | audience, spectator
프로 |  | professional
화려하다 | 華麗 | to be splendid, flashy
귀고리 |  | earring
다리다 |  | to iron, press
종 | 種, 鐘 | species;<br>bell;<br>slave, servant
살리다 |  | to save one's life, spare;<div>to make good use</div>
해수욕장 | 海水浴場 | swimming beach
이천 | 利川 | Icheon
건지다 |  | to take out of water;<div>to take back</div>
쏟다 |  | to spill, pour
바닷물 |  | seawater
약도 | 略圖 | rough map, sketch map
뮤지컬 |  | musical
진찰 | 診察 | medical examination
옛날얘기 |  | folk tale, legend
유치원 | 幼稚園 | kindergarten
동남아 | 東南亞 | Southeast Asia
액자 | 額子 | picture frame
밟다 |  | to step on;<div>to trail after</div>
없애다 |  | to remove, get rid of;<div>to waste</div>
매진되다 | 賣盡 | to be sold out
