차 | 茶, 車 | tea;<div>car</div>
가수 | 歌手 | singer
등 | 燈 | back;<div>lamp</div>
반복하다 | 反復 | to repeat
인기 | 人氣 | popularity
낫다 |  | to be better;<br>to get better, to heal
잇다 |  | to connect, join
짓다 |  | to make, build, construct
감기 | 感氣 | cold (the illness)
벗다 |  | to take off (clothes)
씻다 |  | to wash
손 |  | hand
위험 | 危險 | danger, risk
연락하다 | 連絡 | to contact, keep in touch
결정하다 | 決定 | to decide
유행 | 流行 | fashion
대화 | 對話 | conversation
치다 |  | to play a game;<br>to hit, attack
정신 | 精神 | mind, spirit, soul
타다 |  | to ride, get in;<br>to burn, be tanned
섬 |  | island
큰길 |  | main road
절대로 | 絶對 | never;<div>absolutely, completely</div>
경쟁 | 競爭 | competition
깨끗하다 |  | to be clean
연습하다 | 練習 | to practice, train
병 | 甁 | bottle;<div>sickness, disease</div>
늦다 |  | to be late
소리 |  | sound, noise
사실은 | 事實- | actually
일반 | 一般 | general, common
문 | 門 | door
반 | 半, 班 | half;<br>group, class
세수하다 | 洗手 | to wash one's face
빨래하다 |  | to do laundry
걷다 |  | to walk
복잡하다 | 複雜 | to be crowded;<div>to be complicated</div>
창피하다 | 猖披 | to be ashamed, embarrassed
필요하다 | 必要 | to need
실망하다 | 失望 | to be disappointed
인터넷 |  | internet
잊다 |  | to forget
배달 | 配達 | delivery
열다 |  | to open
켜다 |  | to turn on, switch on
묻다 |  | to ask;<div>to stick to, be stained;<br />to bury</div>
깨닫다 |  | to realize, recognize
더위 |  | the heat
반바지 | 半-- | shorts
기적 | 奇蹟, 汽笛 | miracle;<br>steam whistle
바람 |  | wind, breeze;<div>wish, desire</div>
상처 | 傷處 | injury, wound, bruise
기회 | 機會 | chance, opportunity
모험 | 冒險 | adventure
입술 |  | lips
포기하다 | 抛棄 | to give up
자랑하다 |  | to be proud (of), boast (about)
복사하다 | 複寫 | to reproduce, copy
놓다 |  | to lay, put, place;<br>to let go
식사 | 食事 | meal
회의 | 會議 | meeting, conference
공사 | 工事 | construction
중간 | 中間 | middle
부부 | 夫婦 | a married couple
약국 | 藥局 | pharmacy
던지다 |  | to throw
유치하다 | 幼稚, 誘致 | to be childish, immature;<div>to attract, invite</div>
아무나 |  | anybody
힘 |  | power, strength, force, capability
능력 | 能力 | ability, capability
지나다 |  | to pass, go by
배우 | 俳優 | actor
삶 |  | life
경찰서 | 警察署 | police station
지키다 |  | to defend, protect
인도 | 人道, 引渡 | India;<div>sidewalk</div>
단점 | 短點 | weakness, flaw, shortcoming
구경하다 |  | to go sightseeing, look around;<div>to see, watch (a show, movie, play, sports game etc.)</div>
할아버지 |  | grandfather
누나 |  | older sister (of a male)
계시다 |  | to exist (hon.)
손님 |  | guest;<div>customer</div>
불안하다 | 不安 | to be anxious, uneasy
완전하다 | 完全 | to be perfect, complete
불만 | 不滿 | dissatisfaction, complaint
가끔 |  | sometimes
비행기 | 飛行機 | airplane
하얗다 |  | to be white
달다 |  | to be sweet;<br />to put up, attach;<div>to weigh, measure</div>
소식 | 消息 | news (from people you know)
관심 | 關心 | interest, concern
여름 |  | summer
간호사 | 看護師 | nurse
참 |  | very, really
살인 | 殺人 | murder
덜 |  | less
돌려주다 |  | to give back, return something
우체국 | 郵遞局 | post office
야구 | 野球 | baseball
대단하다 |  | to be great, tremendous;<div>to be wonderful</div>
어떤 |  | some, certain;<br>what kind of
내리다 |  | to come down, put down;<div>to get out of;</div><div>to take off</div>
장소 | 場所 | place, location
따뜻하다 |  | to be warm, kind
분명히 | 分明 | clearly, definitely
어쩌면 |  | maybe
떨어지다 |  | to fall, crash;<div>to be short of, run out;</div><div>to be worn out</div>
자르다 |  | to cut, slice
이제 |  | now (after something)
따라하다 |  | to imitate, repeat (after)
날 |  | day, date;<br>edge
훨씬 |  | by far, much
산 | 山 | mountain
평소에 | 平素- | usually, ordinarily
초대하다 | 招待 | to invite
정답 | 正答 | correct answer
궁금하다 |  | to be curious, to wonder
바다 |  | sea, ocean
게으르다 |  | to be idle, lazy
시키다 |  | to order, force someone
경제 | 經濟 | economy
곧 |  | soon
줄 |  | line, rope
과일 |  | fruit
번호 | 番號 | number
제목 | 題目 | title, name
보기 |  | example
나라 |  | country, nation
이따가 |  | a little later
어느 |  | which
어휘 | 語彙 | vocabulary
댁 | 宅 | house (hon.)
샤워하다 |  | to take a shower
이용하다 | 利用 | to use, take advantage of
가구 | 家具, 家口 | furniture;<br>household
색깔 | 色- | color
계단 | 階段 | stairs
기분 | 氣分 | mood, feeling
끝내다 |  | to finish (something)
며칠 |  | several days;<div>day of the month</div>
면접 | 面接 | (job) interview
웃기다 |  | to amuse, to be funny
작년 | 昨年 | last year
그제 |  | day before yesterday
뻔하다 |  | to be obvious, clear
떨어뜨리다 |  | to drop (something)
잃다 |  | to lose (something)
문장 | 文章 | sentence
실례하다 | 失禮 | to be excused
잠깐 |  | for a little while
좀 |  | a little;<div>kindly;<div>certainly</div></div>
뜨겁다 |  | to be hot (regarding objects)
높다 |  | to be high;<div>to be noble</div>
짜다 |  | to be salty;<div>to make, build, organize;<div>to squeeze</div></div>
낮다 |  | to be low
짧다 |  | to be short
종업원 | 從業員 | waiter, waitress
제발 |  | please;<div>by all means</div>
바나나 |  | banana
마지막 |  | the last, final one
굉장히 | 宏壯 | very, extremely, very much
부지런하다 |  | to be hardworking, diligent
신기하다 | 神奇 | to be marvelous, wonderful, amazing
언니 |  | older sister (of a female)
오빠 |  | older brother (of a female)
직접 | 直接 | directly, personally
수고하다 |  | to work hard, keep up the effort
합격하다 | 合格 | to pass an exam
신호 | 信號 | signal
출발하다 | 出發 | to depart, leave
멈추다 |  | to stop, cease
고맙다 |  | to be thankful, grateful
처음 |  | first, at first, first time
문서 | 文書 | document, papers
문화 | 文化 | culture
잠들다 |  | to fall asleep
가르다 |  | to divide, cut, split
창문 | 窓門 | window
오른쪽 |  | right side
잘 |  | well
원 | 圓 | won (Korean currency);<div>circle</div>
이런 |  | such
함께 |  | together, in company with
남편 | 男便 | husband
시간 | 時間 | time; hours
모든 |  | all; every
몸 |  | body, figure
밑 |  | the bottom, below
이번 | -番 | this time
생활 | 生活 | life, living, livelihood
사이 |  | relationship;<div>distance apart</div>
그때 |  | then, at that time
서다 |  | to stand;<div>to stop</div>
물론 | 勿論 | of course
넣다 |  | to put in, insert
자리 |  | <div>room, space, place (for something);</div><div>mat</div>
쪽 |  | <div>page;</div><div>piece</div>
얘기 |  | story;<div>talk, conversation</div>
생기다 |  | to occur, happen;<div>to look;</div><div>to form</div>
비서 | 秘書 | secretary
작가 | 作家 | writer, author
이혼 | 離婚 | divorce
설마 |  | don't tell me, can't be true
심심하다 |  | to be bored
올라가다 |  | to go up
사용하다 | 使用 | to use, make use of
가운데 |  | center
서로 |  | each other, mutually
희망 | 希望 | hope
